obsDate,SPRealIndex,sp12fwd,sp36fwd,sp60fwd,sp84fwd,sp120fwd,SPRealValuation,date,next_date,SPValuationLevel
19300331,234.51292682364,-0.201890011548112,-0.289690332233866,-0.147604305640642,-0.008406407095836,-0.04146488281931,1397.05127591009,03/31/1930,04/30/1930,expensive
19300430,248.028789712936,-0.312447300368433,-0.278869047365722,-0.146001132134389,-0.025838640321474,-0.045830811321874,1484.97636031154,04/30/1930,05/31/1930,expensive
19300531,234.698065444591,-0.334486514989584,-0.200810869127561,-0.123276165752945,-0.02541529049096,-0.054600624580319,1377.35605700417,05/31/1930,06/30/1930,expensive
19300630,212.320675136233,-0.278059155158497,-0.131091927730983,-0.097447565012491,-0.01667785999709,-0.054241192226506,1205.72629225254,06/30/1930,07/31/1930,expensive
19300731,210.386995979198,-0.246820226046634,-0.114626917612557,-0.086444537924088,-0.008144996064576,-0.049550230600431,1183.21747064577,07/31/1930,08/31/1930,expensive
19300831,209.045221236875,-0.264243709888223,-0.129826123860168,-0.073149068039714,-0.005721752969313,-0.046897677010375,1165.63245376548,08/31/1930,09/30/1930,expensive
19300930,207.783060140372,-0.365353550137875,-0.130401063237709,-0.068076871727801,-0.027207131195917,-0.042313700434764,1149.45423823562,09/30/1930,10/31/1930,fair
19301031,180.368775670995,-0.361762883895618,-0.118864149131641,-0.036186813561153,-0.02929574607334,-0.027696595225432,948.281645125106,10/31/1930,11/30/1930,fair
19301130,168.405580432223,-0.297111983135436,-0.091147287176148,-0.006532138684742,-0.031493734511498,-0.018684138295777,858.949759373236,11/30/1930,12/31/1930,fair
19301231,160.18623375754,-0.395022370954367,-0.069773721347278,0.003532326823214,-0.025738286589247,-0.018518283302211,797.050499954617,12/31/1930,01/31/1931,fair
19310131,167.216427163769,-0.417541721849695,-0.065718220787492,0.005772218975978,-0.026056371547389,-0.02247683037617,842.771543843369,01/31/1931,02/28/1931,fair
19310228,182.378985472653,-0.46247912050991,-0.072724213036484,-0.000370460672085,-0.040302085860822,-0.037095855824776,944.764641749048,02/28/1931,03/31/1931,fair
19310331,187.167109319034,-0.470075497507409,-0.096556386580127,0.000182118265529,-0.05304525913157,-0.039622441280498,974.307470107935,03/31/1931,04/30/1931,fair
19310430,170.53286395348,-0.554113320446808,-0.062776805242405,0.019319679804026,-0.046913083412626,-0.034314674368138,854.025954646755,04/30/1931,05/31/1931,fair
19310531,156.194727459233,-0.566111574308552,-0.068670362394043,0.026204080728523,-0.032550126739601,-0.028547316117229,750.626055390653,05/31/1931,06/30/1931,fair
19310630,153.28296758517,-0.613895838591552,-0.06088623311682,0.037269571584156,-0.02668268966851,-0.025306145777432,726.710432433459,06/30/1931,07/31/1931,fair
19310731,158.45923007434,-0.607216805163023,-0.085967407187894,0.040894141629153,-0.00578517028357,-0.023607873643004,759.066863493192,07/31/1931,08/31/1931,fair
19310831,153.806336442839,-0.386780401615736,-0.088866624637256,0.049831101298464,-0.000652187035262,-0.022423692833896,723.193429057401,08/31/1931,09/30/1931,fair
19310930,131.868781459576,-0.209029663100388,-0.053233005838538,0.085172868400634,0.014875529908202,-0.008229524758139,569.148681186065,09/30/1931,10/31/1931,cheap
19311031,115.118047219534,-0.212546947478223,-0.0041660932878,0.126584155080993,0.051640702619972,-9.85329927472023E-06,451.680768425732,10/31/1931,11/30/1931,cheap
19311130,118.370264458931,-0.235352995386674,-0.004114637315579,0.126577069312168,0.047644815058284,-0.008131432347883,470.672586656444,11/30/1931,12/31/1931,cheap
19311231,96.9090879043863,-0.088906153801539,0.069692942129088,0.168582416524082,0.073542958135243,0.004549535540979,322.255044186801,12/31/1931,01/31/1932,cheap
19320131,97.3965922442549,-0.042352734708942,0.062805049332399,0.172998848605427,0.070530304376646,0.004771599946656,322.255044186801,01/31/1932,02/29/1932,cheap
19320229,98.0325126717706,-0.147360257876014,0.04732168544747,0.178415928800655,0.069467148547074,0.000365526193354,324.365246212436,02/29/1932,03/31/1932,cheap
19320331,99.1844372888655,-0.152642982733147,0.020884233404132,0.173847954089098,0.067622938107441,-0.007529921843161,329.289050938917,03/31/1932,04/30/1932,cheap
19320430,76.0383324629132,0.223240694503319,0.140036251710862,0.221172908140629,0.089014102736048,0.014333716632827,173.134101041946,04/30/1932,05/31/1932,cheap
19320531,67.7710843985912,0.767721244631186,0.215046915056245,0.236631901092579,0.112891634616991,0.026068908955186,116.86204702502,05/31/1932,06/30/1932,cheap
19320630,59.1831916576705,1.35350648804245,0.290383214695594,0.261051797544832,0.137590538208016,0.045281902338773,59.1831916576705,06/30/1932,07/31/1932,cheap
19320731,62.240122640007,1.3459966918466,0.290845748032193,0.261296395848871,0.133421224846076,0.043277301802572,78.1750098883831,07/31/1932,08/31/1932,cheap
19320831,94.3170598624328,0.460387520209381,0.148770166016274,0.163164425462154,0.065918164959298,-0.000318621370745,288.491811776645,08/31/1932,09/30/1932,cheap
19320930,104.304294497622,0.309980854395217,0.118757945915276,0.104307747937769,0.062807693627194,-0.00922280235884,353.908074571322,09/30/1932,10/31/1932,cheap
19321031,90.6500576833681,0.361199835407991,0.182821465058491,0.100728877992714,0.087074789259211,0.010795901475831,263.87278814424,10/31/1932,11/30/1932,cheap
19321130,90.511468153809,0.396797318725712,0.216579965018937,0.082614855865304,0.084594134722782,0.01202443217251,262.465986793817,11/30/1932,12/31/1932,cheap
19321231,88.2932736303921,0.460371615952255,0.226831171434139,0.086138990953953,0.084804245662997,0.01453572805171,248.397973289585,12/31/1932,01/31/1933,cheap
19330131,93.271580211379,0.462053425109126,0.226523652499481,0.083061879181459,0.076640733585375,0.014928138233108,281.457805024529,01/31/1933,02/28/1933,cheap
19330228,83.5864163242249,0.739665891672145,0.29621834977107,0.103458969497509,0.091582822356047,0.032118015795877,218.151744255487,02/28/1933,03/31/1933,cheap
19330331,84.0446289403843,0.642187436748582,0.306286181051614,0.087438802136325,0.089910948740588,0.033401366225292,220.965346956334,03/31/1933,04/30/1933,cheap
19330430,93.0131826108082,0.509359405458009,0.263587173711437,0.055451368114247,0.075832095130282,0.025207389335381,280.754404349318,04/30/1933,05/31/1933,cheap
19330531,119.800385663083,0.053218368047664,0.140579635892832,0.006749659939593,0.015982771457263,0.002930585690186,458.714775177847,05/31/1933,06/30/1933,cheap
19330630,139.288025549387,-0.088546034064904,0.097352361454988,-0.0185408013162,-0.019258312934239,-0.010296884271998,588.843900091989,06/30/1933,07/31/1933,fair
19330731,146.015121813583,-0.171285852690101,0.098628453104966,0.008268670551334,-0.020215886449143,-0.012324295850191,634.564943980742,07/31/1933,08/31/1933,fair
19330831,137.739457165938,-0.15537928857689,0.125047894523582,0.021378013904701,-0.008979927211992,-0.010939063688907,581.809893339874,08/31/1933,09/30/1933,fair
19330930,136.636628823085,-0.180961752971843,0.132460761628094,0.01366129643548,-0.001881168896397,-0.008583424478067,576.182687938181,09/30/1933,10/31/1933,fair
19331031,123.392843598326,-0.078672213959624,0.191856250407592,0.058242086625819,0.014208075655296,0.00070884729109,490.367805562368,10/31/1933,11/30/1933,cheap
19331130,126.426176031168,-0.075230147167682,0.193264491402801,0.053369691451525,0.014114071943579,-0.006386007534585,512.173226493927,11/30/1933,12/31/1933,cheap
19331231,128.94099068933,-0.080078234739335,0.178754634413887,0.043138319032704,0.004303993198541,-0.006986090026465,531.16504472464,12/31/1933,01/31/1934,cheap
19340131,136.368033313387,-0.142583154368107,0.166200002243814,0.028501167358025,-0.003337455173004,-0.009343376488578,583.920095365508,01/31/1934,02/28/1934,fair
19340228,145.412437486362,-0.225522388615646,0.152799732625459,0.015285407137428,-0.021410519829261,-0.016297886697513,647.22615613455,02/28/1934,03/31/1934,fair
19340331,138.017033772095,-0.235389365391971,0.170011221454044,0.025857938252024,-0.014136707105505,-0.008363318526678,599.394910220163,03/31/1934,04/30/1934,fair
19340430,140.390322005207,-0.197488252168844,0.137261680628898,-0.003250587706878,-0.021853532611223,-0.012294659002323,618.386728450876,04/30/1934,05/31/1934,fair
19340531,126.175966679553,-0.036510612433976,0.158128300101668,0.025764318430635,-0.010826844244543,0.000102235397139,524.131037972524,05/31/1934,06/30/1934,cheap
19340630,126.954623294258,0.001626892854987,0.141313172173541,0.028230144570456,-0.009647812722423,0.003580219755621,531.868445399851,06/30/1934,07/31/1934,cheap
19340731,121.004797168095,0.106345814995537,0.179735211019103,0.04328135973221,0.00440353883824,0.010480279174481,493.181408263215,07/31/1934,08/31/1934,cheap
19340831,116.337598302527,0.229050152300902,0.199569012971071,0.048545886252692,0.007515053800049,0.013017969514385,463.638579904328,08/31/1934,09/30/1934,cheap
19340930,111.910624951097,0.305086410647416,0.152463434729026,0.07379836710337,0.01170671411862,0.015329939766314,434.799152220654,09/30/1934,10/31/1934,cheap
19341031,113.685255405672,0.319536885188412,0.088149537499978,0.074226797868247,0.001776698378709,0.016253081939933,448.867165724885,10/31/1934,11/30/1934,cheap
19341130,116.915116202496,0.393974804509298,0.04809573021933,0.064487928706403,-0.009847952533723,0.012748041990889,472.782788682079,11/30/1934,12/31/1934,cheap
19341231,118.615623769388,0.374485391741666,0.040089986141837,0.056450301071379,-0.022140189388642,0.012956080875865,486.147401511099,12/31/1934,01/31/1935,cheap
19350131,116.924248968589,0.471880421723512,0.05934405110242,0.059907776945742,-0.019119506856056,0.017440816909373,476.299792058137,01/31/1935,02/28/1935,cheap
